"state","year","high_sch_grads","unemployment_percent","total_labor_force","total_checked_firearm","white","black","american_indian_alaskan_native","asian","native_hawaiian_pacific_islander","two_or_more_race","hispanic_latino","population","shootings_count_per_mil"
"Hawaii",2022,0.813083774708443,3.2,46.2624531660968,1.30829414885196,18.4754713941714,1.59693541712378,0.182822338070651,31.4181541956789,7.21658718674403,13.4021341539624,7.06306641596005,1440196,1.38869987140639
"Idaho",2015,1.1001546146887,3.8,47.5045310273253,8.28722628510222,62.8291764876747,0.445568670404449,0.817067525166491,1.05495024190693,0.118124411874166,1.04212115619109,7.43354745400137,1652495,4.23601886843833
"Idaho",2016,1.10864613345558,3.8,47.8209491958604,9.28382766164144,62.7380887344451,0.469467398559176,0.818569199233271,1.10781479730837,0.121315696339033,1.0848342909534,7.64229505782537,1684036,3.56286920232109
"Idaho",2017,1.10132606869042,3.5,48.0833495663601,10.5887210022416,62.726857760889,0.491351915545619,0.818377143122963,1.14144829611367,0.125192979191682,1.12132903424636,7.81330953135494,1719745,3.48888934115232
"Idaho",2018,1.10383465538556,3,48.6286538125673,11.8328335447019,62.8383846800991,0.510880248208694,0.815376519484908,1.15075048200019,0.130074414665134,1.15834148557652,7.99007347863161,1752074,7.41977793175402
"Idaho",2019,1.08045565827865,3,48.9609627402099,11.6974835947369,62.9373525762132,0.525862743563659,0.815847428258415,1.16619900953573,0.132471800833957,1.19118419728796,8.18351536561099,1789060,3.91266922294389
"Idaho",2020,1.04856040605623,2.7,48.7080373047401,15.2111018698877,63.1464815633987,0.554455381294201,0.813648265576178,1.17731864880094,0.13714023670751,1.2647076955357,8.39951503405253,1849202,3.24464282431016
"Idaho",2021,1.02609128536575,4.1,48.0153483091549,14.3758854894729,63.1866383380052,0.565085379827066,0.805014299112436,1.19775415188882,0.140155457555844,1.30755747213957,8.6012600863093,1904314,6.82660527623071
"Idaho",2022,1.0139074476814,2.7,48.4617332453857,12.1434240675636,63.1839685038883,0.579051516915906,0.801636692103744,1.22509518919998,0.142338990620583,1.344587740384,8.82460484169171,1939033,3.6100468635655
"Illinois",2015,1.06395346350602,6.1,50.449746239867,9.70014195636951,50.1381731992129,10.5964228239092,0.119529518254283,4.22305229912163,0.0212759587498352,0.766097817309034,11.0951636464163,12859585,1.63302314965841
"Illinois",2016,1.07115205937056,6.2,51.3138225177315,15.0063458779169,49.9712323840761,10.6151761828318,0.120592348492701,4.3211322297207,0.0215649879434949,0.794979826792201,11.2924649904315,12821709,2.02781080119663
"Illinois",2017,1.08232518065683,5.3,51.3774958835727,12.5281721842272,49.8008864393466,10.6258244885149,0.121221672200229,4.43632039798768,0.0218624678626026,0.825711138583085,11.4993216296881,12779893,1.48671041299016
"Illinois",2018,1.10454600644338,4.6,51.512567894608,22.2516078001145,49.6274367499078,10.6560594623757,0.12203052570653,4.53515352246441,0.0222716711651408,0.855879732975708,11.7260034334838,12724685,1.57174814150606
